feature,modality,selected_by_EN,perm_imp_mse_increase_train,perm_imp_mse_increase_train_std
demo__edu_years,demographics,True,6.852632724945744,1.3095394991541864
whisper__sent_net_polarity,whisper,True,3.9736745280033823,0.6129047364592699
HNRdBACF_sma3nz_amean,egemaps,True,2.5310033920129094,0.4528815340142843
whisper__lex_mattr50,whisper,True,2.331356024791723,0.43724494901584016
whisper__sent_le_rate,whisper,True,2.057381859591525,0.521606337696145
logRelF0-H1-A3_sma3nz_amean,egemaps,True,1.9556921330651889,0.6582401180099996
slopeUV500-1500_sma3nz_amean,egemaps,True,1.8845069771820082,0.5313536777369268
slopeUV0-500_sma3nz_amean,egemaps,True,1.8732923481337913,0.5069907837957451
mfcc4V_sma3nz_amean,egemaps,True,1.8318738727396298,0.44302871072023453
shimmerLocaldB_sma3nz_amean,egemaps,True,1.8289679776355119,0.690361072804462
whisper__sent_jing_rate,whisper,True,1.4971607183352187,0.43262343038422885
mfcc3V_sma3nz_stddevNorm,egemaps,True,1.3560349609323314,0.6333549161870013
mfcc4V_sma3nz_stddevNorm,egemaps,True,1.351182996694651,0.4366565166488589
StddevVoicedSegmentLengthSec,egemaps,True,1.33168246471011,0.3778149264135598
whisper__syn_punct_density,whisper,True,1.3284707255507693,0.27780312334356494
demo__age,demographics,True,1.2095819903726441,0.40351994314142303
MeanVoicedSegmentLengthSec,egemaps,True,1.2017942175971545,0.3518934550557502
slopeV0-500_sma3nz_amean,egemaps,True,1.1814187567545875,0.282274867512015
whisper__syn_sd_tokens_per_sent,whisper,True,1.155722204423314,0.25121894293110286
slopeV500-1500_sma3nz_amean,egemaps,True,1.119123946871994,0.37773757555304516
F0semitoneFrom27.5Hz_sma3nz_stddevNorm,egemaps,True,1.0395072395719034,0.39930618485560815
loudness_sma3_percentile50.0,egemaps,True,0.9998807173432633,0.2724444800400564
logRelF0-H1-H2_sma3nz_stddevNorm,egemaps,True,0.9510211347277913,0.25681833829278156
slopeV500-1500_sma3nz_stddevNorm,egemaps,True,0.9244708710414875,0.2359060968409986
mfcc2_sma3_stddevNorm,egemaps,True,0.8815807194046655,0.23068152853747945
mfcc4_sma3_stddevNorm,egemaps,True,0.8715106577300432,0.3445916334513744
loudness_sma3_stddevNorm,egemaps,True,0.8573057171272019,0.24675555538767444
MeanUnvoicedSegmentLength,egemaps,True,0.8056110806214878,0.29740963091475225
F0semitoneFrom27.5Hz_sma3nz_percentile50.0,egemaps,True,0.7912596496415251,0.18660891855929188
F3frequency_sma3nz_stddevNorm,egemaps,True,0.787656499279165,0.28558497300998337
whisper__lex_first_person_sg_rate,whisper,True,0.7844141794770821,0.24281457798774803
F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,egemaps,True,0.7416673722136701,0.21605094911233858
loudness_sma3_percentile20.0,egemaps,True,0.707969841495316,0.2641946618057787
shimmerLocaldB_sma3nz_stddevNorm,egemaps,True,0.6995901467860121,0.1848859496621943
logRelF0-H1-H2_sma3nz_amean,egemaps,True,0.6570659641374272,0.1379033529474406
whisper__sent_nu_rate,whisper,True,0.6421940913906989,0.22117406949982438
